,filename,folder_name,date,word_count,DET_freq_per_100k,PROPN_freq_per_100k,NOUN_freq_per_100k,AUX_freq_per_100k,VERB_freq_per_100k,SCONJ_freq_per_100k,PRON_freq_per_100k,ADJ_freq_per_100k,ADP_freq_per_100k,PUNCT_freq_per_100k,CCONJ_freq_per_100k,PART_freq_per_100k,NUM_freq_per_100k,ADV_freq_per_100k,SYM_freq_per_100k,SPACE_freq_per_100k,X_freq_per_100k,INTJ_freq_per_100k,named_entities
0,"Act Party candidate Elaine Naidu Fr-23 Aug, 2023 01_38 PM.txt",nzheraldnew,2023-08-23,393,8396.946564885497,13740.458015267177,18829.516539440203,8142.493638676845,16030.534351145037,1781.1704834605598,7379.13486005089,5597.964376590331,12213.740458015267,8905.8524173028,2035.6234096692112,4071.2468193384225,508.9058524173028,1017.8117048346056,254.4529262086514,254.4529262086514,,,"[('Nazi', 'NORP'), ('David Seymour', 'PERSON'), ('Rangitata', 'PRODUCT'), ('Elaine Naidu Franz', 'PERSON'), ('29th', 'DATE'), ('Seymour', 'PERSON'), ('today', 'DATE'), ('Seymour', 'PERSON'), ('AdvertisementAdvertise', 'ORG'), ('Naidu Franz', 'PERSON'), ('Act Party', 'ORG'), ('Photo / SuppliedAct’s', 'ORG'), ('Waikato', 'PERSON'), ('Darren Gilchrist', 'PERSON'), ('48th', 'DATE'), ('Seymour', 'PERSON'), ('Seymour', 'PERSON'), ('Gilchrist', 'ORG'), ('New Zealand', 'GPE'), ('New Zealand', 'GPE'), ('AdvertisementAdvertise', 'ORG'), ('NZME.“At', 'ORG'), ('Seymour', 'PERSON'), ('Covid', 'PERSON'), ('Act', 'PERSON'), ('Adam Pearse', 'PERSON'), ('the NZ Herald Press Gallery', 'ORG'), ('Parliament', 'ORG'), ('NZME', 'ORG'), ('2018', 'DATE'), ('the Northern Advocate', 'ORG'), ('Whangārei', 'ORG'), ('the NZ Herald', 'ORG'), ('Auckland', 'GPE'), ('Herald', 'ORG'), ('SaveshareShare', 'ORG')]"
1,"Afraid of needles_ China using inha-27 Oct, 2022 09_32 AM.txt",nzheraldnew,2022-10-27,742,9973.045822102426,8625.33692722372,23989.21832884097,5929.919137466307,13072.776280323451,2156.33423180593,2964.9595687331534,8894.87870619946,12398.921832884096,12803.23450134771,2291.1051212938005,2021.563342318059,3638.814016172507,4312.66846361186,134.77088948787062,,,,"[('Shanghai', 'GPE'), ('Covid', 'PERSON'), ('19', 'CARDINAL'), ('Wednesday', 'DATE'), ('first', 'ORDINAL'), ('China', 'GPE'), ('mid-October', 'DATE'), ('90 per cent', 'MONEY'), ('Chinese', 'NORP'), ('57 per cent', 'MONEY'), ('AdvertisementAdvertise', 'ORG'), ('Chinese', 'NORP'), ('five seconds', 'TIME'), ('20 seconds', 'TIME'), ('“It', 'PERSON'), ('one', 'CARDINAL'), ('Shanghai', 'GPE'), ('September', 'DATE'), ('Chinese', 'NORP'), ('September', 'DATE'), ('two', 'CARDINAL'), ('Chinese', 'NORP'), ('one', 'CARDINAL'), ('AdvertisementAdvertise', 'PERSON'), ('Vineeta Bal', 'PERSON'), ('India', 'GPE'), ('Chinese', 'NORP'), ('CanSino Biologics', 'ORG'), ('one', 'CARDINAL'), ('one', 'CARDINAL'), ('more than 10', 'CARDINAL'), ('China', 'GPE'), ('Hungary', 'GPE'), ('Pakistan', 'GPE'), ('Malaysia', 'GPE'), ('Argentina', 'GPE'), ('Mexico', 'GPE'), ('Malaysia', 'GPE'), ('Malaysian', 'NORP'), ('last month', 'DATE'), ('India', 'GPE'), ('US', 'GPE'), ('Indian', 'NORP'), ('Bharat Biotech', 'PERSON'), ('About a dozen', 'CARDINAL'), ('the World Health Organisation', 'ORG'), ('China', 'GPE'), ('two', 'CARDINAL'), ('Pfizer', 'ORG'), ('Moderna', 'PERSON'), ('MoreCovid', 'ORG'), ('19', 'CARDINAL'), ('Delta', 'LOC'), ('Covid 19 Omicron', 'PERSON'), ('Covid 19 Omicron', 'PERSON'), ('19', 'CARDINAL'), ('Delta', 'LOC'), ('Chinese', 'NORP'), ('zero', 'CARDINAL'), ('Communist Party', 'ORG'), ('zero', 'CARDINAL'), ('Wednesday', 'DATE'), ('900,000', 'CARDINAL'), ('Wuhan', 'GPE'), ('first', 'ORDINAL'), ('late 2019', 'DATE'), ('at least five days', 'DATE'), ('Qinghai', 'GPE'), ('Xining city', 'GPE'), ('last Friday', 'DATE'), ('Beijing', 'GPE'), ('Universal Studios', 'ORG'), ('more than 21 million', 'QUANTITY'), ('19', 'CARDINAL'), ('24-hour', 'TIME'), ('AdvertisementAdvertise', 'ORG'), ('NZME.-', 'ORG')]"
2,"Appeal planned_ Science teacher dis-21 Dec, 2022 04_48 PM.txt",nzheraldnew,2022-12-21,715,11748.251748251749,14265.734265734265,19580.41958041958,5874.125874125874,11608.391608391608,2377.6223776223774,6293.706293706295,4055.944055944056,13566.433566433567,7692.307692307692,3356.6433566433566,2377.6223776223774,2237.762237762238,2517.482517482518,279.72027972027973,,,,"[('hundreds', 'CARDINAL'), ('Taupo Intermediate School', 'ORG'), ('Marika Pretorius', 'ORG'), ('447', 'CARDINAL'), ('New Zealand', 'GPE'), ('between November 2021 and April 20, 2022', 'DATE'), ('Ministry of Education', 'ORG'), ('June this year', 'DATE'), ('the Official Information Act', 'LAW'), ('AdvertisementAdvertise', 'PERSON'), ('November 2021', 'DATE'), ('Ministry', 'ORG'), ('Marika Pretorius', 'ORG'), ('Photo / APThe Employment Relations Authority', 'ORG'), ('December 15', 'DATE'), ('Pretorius', 'ORG'), ('the ERA.The Authority', 'ORG'), ('Pretorius', 'PERSON'), ('Bill of Rights Act', 'LAW'), ('1990', 'DATE'), ('the Nuremberg Code 1947.“The Authority', 'ORG'), ('ERA', 'ORG'), ('Rachel Larmer', 'PERSON'), ('AdvertisementAdvertise', 'ORG'), ('NZME.Pretorius', 'PERSON'), ('2250', 'MONEY'), ('the Employment Court', 'ORG'), ('Pretorius', 'ORG'), ('Erika Whittome', 'PERSON'), ('Karen Glass', 'PERSON'), ('the Number 8 Workers Union of New Zealand Inc', 'ORG'), ('Pfizer', 'ORG'), ('May this year', 'DATE'), ('the Board of Trustees of Taupo Intermediate School', 'ORG'), ('90-day', 'DATE'), ('January', 'DATE'), ('May 27.Whittome', 'DATE'), ('Glass', 'PERSON'), ('NZME', 'ORG'), ('the Employment Court', 'ORG'), ('Taupo', 'NORP'), ('January 2020 to January', 'DATE'), ('William Clarke', 'PERSON'), ('October 2021', 'DATE'), ('Pretorius', 'ORG'), ('Government', 'ORG'), ('Pretorius', 'ORG'), ('Clarke', 'ORG'), ('AdvertisementAdvertise', 'PERSON'), ('NZME.Pretorius', 'PERSON'), ('Clarke', 'ORG'), ('December 2021', 'DATE'), ('Clarke', 'PERSON'), ('January this year', 'DATE'), ('Whittome', 'ORG'), ('Pretorius', 'ORG'), ('early next year', 'DATE'), ('AdvertisementAdvertise', 'PERSON'), ('NZME', 'ORG'), ('SaveshareShare', 'ORG')]"
3,"Australia ends Covid travel declara-4 Jul, 2022 05_44 PM.txt",nzheraldnew,2022-07-04,391,5882.35294117647,13299.23273657289,21227.62148337596,5626.598465473146,14833.759590792839,1790.2813299232737,3836.317135549872,5626.598465473146,12276.214833759592,8951.406649616369,2301.7902813299233,4092.0716112531973,1278.772378516624,7161.125319693095,511.50895140664966,255.75447570332483,255.75447570332483,,"[('Australia', 'GPE'), ('Wednesday', 'DATE'), ('Australia', 'GPE'), ('Australian', 'NORP'), ('Australian Home Affairs', 'ORG'), (""Clare O'Neil"", 'PERSON'), ('Covid', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('MoreAntarctica', 'ORG'), ('winter', 'DATE'), ('summer', 'DATE'), ('20', 'MONEY'), ('France', 'GPE'), ('Aussie', 'GPE'), ('Australians', 'NORP'), ('July school holidays', 'DATE'), ('DPD', 'ORG'), (""O'Neil"", 'ORG'), ('The Digital Passenger Declaration', 'ORG'), ('February', 'DATE'), ('this year', 'DATE'), ('an approximate $75', 'MONEY'), ('this weekend', 'DATE'), ('AdvertisementAdvertise', 'ORG'), ('Australia', 'GPE'), ('Australian', 'NORP'), ('Health', 'ORG'), ('Mark Butler', 'PERSON'), ('Covid', 'PERSON'), ('three', 'CARDINAL'), ('Kiwis', 'NORP'), ('Antarctic darkness04 Jul 01:41', 'PRODUCT')]"
4,"Canterbury businessman admits makin-2 Sep, 2022 12_30 PM.txt",nzheraldnew,2022-09-02,470,9361.702127659573,11063.829787234043,22765.95744680851,4893.617021276596,15106.382978723404,2127.659574468085,7659.574468085107,6382.978723404255,12127.659574468085,10638.297872340425,2340.4255319148933,2127.659574468085,1489.3617021276596,1914.8936170212767,425.53191489361706,212.76595744680853,,212.76595744680853,"[('Canterbury', 'GPE'), ('today', 'DATE'), ('60s', 'DATE'), ('Christchurch District Court', 'ORG'), ('this afternoon', 'TIME'), ('30', 'CARDINAL'), ('Vaccine', 'PERSON'), ('SOUTH ISLAND', 'LOC'), ('October 27.The', 'DATE'), ('the My Vaccine Pass', 'ORG'), ('AdvertisementAdvertise', 'ORG'), ('NZME.He', 'PERSON'), ('Vaccine', 'PERSON'), ('January this year', 'DATE'), ('Canterbury', 'GPE'), ('New Zealand', 'GPE'), ('30', 'CARDINAL'), ('AdvertisementAdvertise', 'ORG'), ('January 21', 'DATE'), ('that afternoon', 'TIME'), ('40', 'MONEY'), ('koha', 'GPE'), ('gang pad murder', 'PERSON'), ('Russia', 'GPE'), ('Ron Mark', 'PERSON'), ('January', 'DATE'), ('Today', 'DATE'), ('Nathan Batts', 'PERSON'), ('North Canterbury', 'GPE'), ('last December', 'DATE'), ('Jonie Girouard', 'PERSON'), ('Kaiapoi', 'GPE'), ('GP', 'ORG'), ('Newshub', 'ORG'), ('AdvertisementAdvertise', 'PERSON'), ('NZME.The Ministry of Health', 'ORG'), ('300', 'MONEY'), ('Girouard', 'PERSON'), ('Public Health Response (Vaccination) Order', 'ORG'), ('2021', 'DATE'), ('SaveshareShare', 'ORG')]"
5,"Canterbury signwriter Peter Solvand-27 Oct, 2022 09_25 AM.txt",nzheraldnew,2022-10-27,619,7915.993537964459,12600.96930533118,22132.471728594508,5008.077544426495,14862.681744749596,2746.3651050080775,8077.544426494346,6785.137318255251,10823.909531502424,10985.46042003231,2100.16155088853,2423.263327948304,1453.9579967689822,2746.3651050080775,646.2035541195477,,161.55088852988692,161.55088852988692,"[('today', 'DATE'), ('Peter David Solvander', 'PERSON'), ('61', 'DATE'), ('Rangiora', 'GPE'), ('North Canterbury', 'GPE'), ('today', 'DATE'), ('SOUTH ISLAND', 'LOC'), ('Christchurch District Court', 'ORG'), ('30', 'CARDINAL'), ('Vaccine', 'PERSON'), ('the My Vaccine Pass', 'ORG'), ('AdvertisementAdvertise', 'ORG'), ('NZME.He', 'PERSON'), ('Vaccine', 'PERSON'), ('January this year', 'DATE'), ('Canterbury', 'GPE'), ('New Zealand', 'GPE'), ('30', 'CARDINAL'), ('AdvertisementAdvertise', 'ORG'), ('January 21', 'DATE'), ('Solvander', 'ORG'), ('Peter Solvander', 'PERSON'), ('Christchurch District Court', 'ORG'), ('George HeardHe', 'PERSON'), ('that afternoon', 'TIME'), ('40', 'MONEY'), ('koha', 'GPE'), ('Peter Solvander', 'PERSON'), ('Photo / George Heard Police', 'ORG'), ('January', 'DATE'), ('Today', 'DATE'), ('Tom Gilbert', 'PERSON'), ('Solvander', 'ORG'), ('bites""', 'GPE'), ('Solvander', 'ORG'), ('Nathan Batts', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('NZME.Judge Gilbert', 'PERSON'), (""five months'"", 'DATE'), ('daily', 'DATE'), ('noon to midnight', 'TIME'), ('100 hours', 'TIME'), ('gang pad murder', 'PERSON'), ('Russia', 'GPE'), ('Ron Mark', 'PERSON'), ('North Canterbury', 'GPE'), ('last December', 'DATE'), ('Jonie Girouard', 'PERSON'), ('Kaiapoi', 'GPE'), ('GP', 'ORG'), ('Newshub', 'ORG'), ('The Ministry of Health', 'ORG'), ('300', 'MONEY'), ('Girouard', 'PERSON'), ('Public Health Response (Vaccination) Order', 'ORG'), ('2021', 'DATE'), ('AdvertisementAdvertise', 'PERSON')]"
6,"Christchurch doctor Samantha Bailey-15 Aug, 2023 01_10 PM.txt",nzheraldnew,2023-08-15,896,8928.57142857143,9933.035714285714,20982.14285714286,5468.75,14955.357142857143,2232.1428571428573,9040.17857142857,5357.142857142857,12611.607142857143,11830.357142857143,3236.607142857143,4129.464285714285,892.8571428571428,2232.1428571428573,,,223.2142857142857,,"[('Covid-19', 'ORG'), ('Christchurch', 'ORG'), ('YouTube', 'ORG'), ('trust”', 'ORG'), ('Samantha Bailey', 'PERSON'), ('the Health Practitioners Disciplinary Tribunal', 'ORG'), ('the Professional Conduct Committee', 'ORG'), ('15', 'CARDINAL'), ('PCC', 'ORG'), ('Bailey', 'PERSON'), ('HPDT', 'ORG'), ('Winston McCarthy', 'PERSON'), ('four', 'CARDINAL'), ('yesterday', 'DATE'), ('about an hour', 'TIME'), ('AdvertisementAdvertise', 'PERSON'), ('one', 'CARDINAL'), ('Bailey', 'LOC'), ('YouTube', 'ORG'), ('Covid', 'PERSON'), ('the Medical Council', 'ORG'), ('Bailey', 'PERSON'), ('Bailey', 'PERSON'), ('Bailey', 'PERSON'), ('AdvertisementAdvertise', 'ORG'), ('NZME.He', 'ORG'), ('YouTube', 'ORG'), ('Bailey', 'PERSON'), ('Michelle Balm', 'PERSON'), ('Bailey', 'PERSON'), ('Balm', 'PERSON'), ('Bailey', 'PERSON'), ('prove”', 'GPE'), ('Bailey', 'PERSON'), ('one', 'CARDINAL'), ('2017', 'DATE'), ('Bailey', 'LOC'), ('Balm', 'PERSON'), ('Bailey', 'PERSON'), ('Polymerase Chain Reaction', 'ORG'), ('PCR', 'ORG'), ('Bailey', 'PERSON'), ('Bailey', 'PERSON'), ('PCR', 'ORG'), ('clickbait”', 'ORG'), ('Balm', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('MoreChristchurch', 'ORG'), ('Samantha Bailey', 'PERSON'), ('Covid', 'PERSON'), ('Monday', 'DATE'), ('Bailey', 'PERSON'), ('YouTube', 'ORG'), ('Bailey', 'PERSON'), ('Coates', 'ORG'), ('Bailey', 'PERSON'), ('Bailey', 'PERSON'), ('meaning”', 'ORG'), ('Polymerase Chain Reaction', 'ORG'), ('PCR', 'ORG'), ('Bailey', 'PERSON'), ('AdvertisementAdvertise', 'ORG'), ('Bailey', 'PERSON'), ('2021', 'DATE'), ('High Court', 'ORG'), ('a week', 'DATE'), ('Moorhouse', 'ORG'), ('NZME', 'ORG'), ('NZME', 'ORG'), ('2022', 'DATE'), ('the Christchurch Star', 'FAC'), ('SaveshareShare', 'ORG')]"
7,"Cook Islands drop Covid vaccine req-16 Sep, 2022 02_42 PM.txt",nzheraldnew,2022-09-16,294,10204.081632653062,17346.938775510203,20408.163265306124,3741.496598639456,11564.625850340137,2040.816326530612,5102.040816326531,9183.673469387755,12244.897959183672,10884.353741496598,3061.224489795918,3061.224489795918,340.1360544217687,1700.6802721088436,,,,,"[('The Cook Islands', 'GPE'), ('Wednesday', 'DATE'), ('this weekend', 'DATE'), ('16 September', 'DATE'), ('Mark Brown', 'PERSON'), ('Covid-19', 'PERSON'), ('NZME.The', 'ORG'), ('Rarotonga', 'GPE'), ('Aitutaki', 'GPE'), ('Tongareva', 'PRODUCT'), ('Pukapuka', 'PERSON'), ('Rarotonga', 'PERSON'), ('Aitutaki', 'LOC'), ('Cook Islands', 'LOC'), ('Health Ministry Te Marae Ora', 'ORG'), ('NZME.The Cook Islands Tourism', 'ORG'), ('GM', 'ORG'), ('the Cook Islands TC', 'GPE'), ('New Zealand', 'GPE'), ('Australia', 'GPE'), ('Graeme West', 'ORG'), ('late October', 'DATE'), ('Aitutaki', 'NORP'), ('Cook Islanders', 'PERSON')]"
8,"Coronial inquest into Dunedin man's-30 Aug, 2022 12_21 PM.txt",nzheraldnew,2022-08-30,539,7977.736549165121,12801.48423005566,18552.875695732837,6307.9777365491655,14100.185528756956,1484.2300556586272,9647.495361781077,5751.39146567718,10946.196660482376,15027.8293135436,3525.046382189239,2597.4025974025976,2040.816326530612,4267.161410018553,,,,,"[('Dunedin', 'PERSON'), ('Rory Nairn', 'PERSON'), ('today', 'DATE'), ('next week', 'DATE'), ('26-year-old', 'DATE'), ('November 17', 'DATE'), ('Ashleigh Wilson', 'PERSON'), ('Covid', 'PERSON'), ('Nairn', 'PERSON'), ('first', 'ORDINAL'), ('Pfizer', 'ORG'), ('November 5.An', 'DATE'), ('Nairn', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('Coroner', 'ORG'), ('19', 'CARDINAL'), ('Delta', 'LOC'), ('Vaccine Board', 'PERSON'), ('today', 'DATE'), ('Dunedin District Court', 'ORG'), ('Wilson', 'ORG'), ('the Otago Daily Times', 'ORG'), ('Nairn', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('Wilson', 'ORG'), ('Wilson', 'ORG'), ('Nairn', 'PERSON'), ('a few hours', 'TIME'), ('Rory Nairn', 'PERSON'), ('Ashleigh Wilson', 'PERSON'), ('Nairn', 'PERSON'), ('first', 'ORDINAL'), ('Pfizer', 'PRODUCT'), ('night', 'TIME'), ('days later', 'DATE'), ('Rory', 'PERSON'), ('3am', 'TIME'), ('November 17', 'DATE'), ('Nairn', 'PERSON'), ('Wilson', 'PERSON'), ('AdvertisementAdvertise', 'ORG'), ('NZME.""He', 'ORG'), ('Helen Petousis-Harris', 'PERSON'), ('about 10', 'CARDINAL'), ('US', 'GPE'), ('Otago Daily TimesAdvertisementAdvertise', 'ORG')]"
9,"Could your future Covid-19 vaccine -10 Apr, 2023 11_09 AM.txt",nzheraldnew,2023-04-10,755,10066.225165562913,7019.867549668875,24635.761589403974,6225.165562913907,13774.834437086092,2384.1059602649007,4635.761589403974,9139.07284768212,10066.225165562913,12450.331125827814,3973.5099337748347,3841.0596026490066,,3841.0596026490066,132.4503311258278,,,,"[('New Zealand', 'GPE'), ('AdvertisementAdvertise', 'ORG'), ('NZME.Dr Theresa Pankhurst', 'ORG'), ('Wellington', 'GPE'), ('Malaghan Institute for Medical Research', 'ORG'), ('Theresa Pankhurst', 'PERSON'), ('Kaitlin Buick', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('Victoria University', 'ORG'), ('Malaghan', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('Buick', 'PERSON'), ('Pankhurst', 'ORG'), ('Buick', 'ORG'), ('Dr', 'GPE'), ('Lisa Connor', 'PERSON'), ('Gavin Painter', 'PERSON'), ('Ian Hermans', 'PERSON'), ('Buick', 'PERSON'), ('AdvertisementAdvertise', 'PERSON'), ('Cell Reports', 'ORG'), ('tomorrow', 'DATE')]"
